"date","description","original_description","amount","transaction_type","category","account_name","labels","notes"
"7/01/2021","GREENWOOD LOCATION Seattle W A 06/30","SQ *GREENWOOD LOCATION Seattle W","18.61","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"7/01/2021","Google","GOOGLE *Google 855-836-3987 CA","6.60","debit","Subscription_Service","PREMIER PLUS CKG","",""
"7/01/2021","XHALE GAL 127 N 85TH S SEATTLE W A 07/01","XHALE GAL 127 N 85TH S SEATTLE W","20.39","debit","Entertainment","PREMIER PLUS CKG","",""
"7/01/2021","MOLINA HEALTHCAREWA 888-858-3492 CA 06/30","MOLINA HEALTHCAREWA 888-858-3492","755.88","debit","Health Insurance","BUS COMPLETE CHK","","2 months coverage. Missed an autopay?"
"6/30/2021","Ravenna Brewing Company","SQ *RAVENNA BREWING CO Seattle W","38.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/30/2021","TEKSYSTEMS, INC. DIR DEP PPD ID: 5522010575","TEKSYSTEMS, INC. DIR DEP","1303.61","credit","Paycheck","PREMIER PLUS CKG","",""
"6/29/2021","ONLYFANS.COM 8886880458 IL","ONLYFANS.COM             8886880458   IL","11.02","debit","Entertainment","Alaska Airlines Visa Signature","",""
"6/29/2021","Title Boxing Club","TITLE BOXING  CLUB SANTA MONICA","42.99","debit","Gym","PREMIER PLUS CKG","","Hoodie"
"6/29/2021","Title Boxing Club","TITLE BOXING  CLUB SANTA MONICA","159.00","debit","Gym","PREMIER PLUS CKG","",""
"6/29/2021","Orig Name Vimo","ORIG CO NAME:VIMO INC","1209.00","credit","Paycheck","BUS COMPLETE CHK","",""
"6/29/2021","LIFEWISE HEALTH PLA 800-817-3056 WA 06/28","LIFEWISE HEALTH PLA 800-817-3056","35.42","debit","Health Insurance","BUS COMPLETE CHK","","Dental"
"6/28/2021","ODD FELLOWS SEATTLE WA 06/26","ODD FELLOWS SEATTLE WA","7.06","debit","Restaurants","PREMIER PLUS CKG","",""
"6/28/2021","GREENWOOD LOCATION Seattle W A 06/26","SQ *GREENWOOD LOCATION Seattle W","14.32","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/28/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","6.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/28/2021","CAROLINE?S BARBERSH Seattle WA 06/25","SQ *CAROLINE?S BARBERSH Seattle","54.00","debit","Hair","PREMIER PLUS CKG","",""
"6/28/2021","Prime Video*212YE59Q0 888-802-30 80 WA 06/27","Prime Video*212YE59Q0 888-802-30","4.40","debit","Entertainment","PREMIER PLUS CKG","",""
"6/28/2021","SEATTLE METER PARKING 2066845226 WA 06/26","SEATTLE METER PARKING 2066845226","1.00","debit","Utilities","PREMIER PLUS CKG","",""
"6/28/2021","Goodwill Industries","GOODWILL  6400 8TH AVE SEATTLE W","22.02","debit","Shopping","PREMIER PLUS CKG","",""
"6/28/2021","Shell","SHELL SERVICE STATION SEATTLE WA","15.60","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/24/2021","SMART FOODSERVI SEATTLE WA 06/24","SMART FOODSERVI SEATTLE WA","57.39","debit","Groceries","PREMIER PLUS CKG","",""
"6/24/2021","Amazon","Amazon.com*215O64WY1 Amzn.com/bi","24.24","debit","Shopping","PREMIER PLUS CKG","","Guitar Tuners"
"6/23/2021","TEKSYSTEMS, INC. DIR DEP PPD ID: 5522010575","TEKSYSTEMS, INC. DIR DEP","1303.61","credit","Paycheck","PREMIER PLUS CKG","",""
"6/23/2021","CenturyLink","CenturyLink      SPEEDPAY","55.00","debit","Internet","PREMIER PLUS CKG","",""
"6/23/2021","BREAKAWAY 812-941-4177 IN 06/22","BREAKAWAY 812-941-4177 IN","10.50","debit","Gifts & Donations","PREMIER PLUS CKG","",""
"6/22/2021","Coinbase.com VYFADNDC VYFA DNDC80b7 WEB ID: 1455293997","Coinbase.com     VYFADNDC   VYFA","1000.00","debit","Financial Advisor","PREMIER PLUS CKG","","Bitcoin"
"6/22/2021","MAK DADDY COFFEE RO YAKIMA W A 06/21","SQ *MAK DADDY COFFEE RO YAKIMA W","4.74","debit","Coffee Shops","PREMIER PLUS CKG","",""
"6/22/2021","LEAM BURI SEATTLE WA 06/14","LEAM BURI SEATTLE WA","27.26","debit","Restaurants","PREMIER PLUS CKG","","Dinner with Haley"
"6/22/2021","Youtube","GOOGLE *YouTube TV 855-836-3987","71.55","debit","Subscription_Service","PREMIER PLUS CKG","",""
"6/22/2021","LEAM BURI SEATTLE WA 06/21","LEAM BURI SEATTLE WA","15.23","debit","Restaurants","PREMIER PLUS CKG","",""
"6/21/2021","Bo's Barn","BO'S BARN WEISER ID","11.29","debit","Entertainment","PREMIER PLUS CKG","","Gas Station Snacks"
"6/21/2021","Tinder 855-836-3987 CA 06/18","GOOGLE *Tinder 855-836-3987 CA","33.06","debit","Entertainment","PREMIER PLUS CKG","",""
"6/21/2021","PENDLETON PENDLETON PENDLETON OR 06/18","PENDLETON PENDLETON PENDLETON OR","35.00","debit","Shopping","PREMIER PLUS CKG","","Chess Set"
"6/21/2021","SEATTLE GRAND CENTR Seattle WA 06/18","SQ *SEATTLE GRAND CENTR Seattle","5.88","debit","Coffee Shops","PREMIER PLUS CKG","",""
"6/21/2021","Bo's Barn","BO'S BARN WEISER ID","32.49","debit","Gas & Fuel","PREMIER PLUS CKG","",""
"6/21/2021","7-Eleven","7-ELEVEN Yakima WA","39.96","debit","Gas & Fuel","PREMIER PLUS CKG","",""
"6/21/2021","CHECK 244","CHECK","1575.00","debit","Mortgage & Rent","PREMIER PLUS CKG","",""
"6/18/2021","Wal-Mart","WAL-MART #2492 PENDLETON OR","62.23","debit","Shopping","PREMIER PLUS CKG","","Weiser Supplies"
"6/18/2021","7-Eleven","7-ELEVEN Yakima WA","22.47","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/18/2021","Wal-Mart","WAL-MART #2492 PENDLETON OR","35.88","debit","Auto & Transport","PREMIER PLUS CKG","","Oil Change in Pendleton"
"6/18/2021","Fred Meyer","FRED-MEYE FRED MEYER 1 SEATTLE W","38.57","debit","Groceries","PREMIER PLUS CKG","",""
"6/18/2021","GREENWOOD LOCATION Seattle W A 06/17","SQ *GREENWOOD LOCATION Seattle W","15.32","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/18/2021","Wal-Mart","WM SUPERC Wal-Mart Sup PENDLETON","2.08","debit","Shopping","PREMIER PLUS CKG","",""
"6/18/2021","Fred Meyer","FRED-MEYER #0122 FRED SEATTLE WA","5.51","debit","Groceries","PREMIER PLUS CKG","",""
"6/17/2021","Fred Meyer","FRED-MEYE FRED MEYER 1 SEATTLE W","96.15","debit","Groceries","PREMIER PLUS CKG","",""
"6/17/2021","Fred Meyer","FRED-MEYE FRED MEYER 1 SEATTLE W","24.51","debit","Groceries","PREMIER PLUS CKG","",""
"6/17/2021","ATM WITHDRAWAL 004877 06/178500 GREE","ATM WITHDRAWAL","100.00","debit","Cash & ATM","PREMIER PLUS CKG","",""
"6/16/2021","Chevron","CHEVRON 0091209 SEATTLE WA","46.60","debit","Gas & Fuel","PREMIER PLUS CKG","",""
"6/16/2021","CROWN HILL GROC SEATTLE WA 06/16","CROWN HILL GROC SEATTLE WA","61.47","debit","Groceries","PREMIER PLUS CKG","",""
"6/16/2021","TEKSYSTEMS, INC. DIR DEP PPD ID: 5522010575","TEKSYSTEMS, INC. DIR DEP","1303.61","credit","Paycheck","PREMIER PLUS CKG","",""
"6/15/2021","COZY NUT TAVERN SEATTLE WA 06/14","COZY NUT TAVERN SEATTLE WA","14.00","debit","Restaurants","PREMIER PLUS CKG","",""
"6/15/2021","Netflix","NETFLIX.COM NETFLIX.COM CA","15.42","debit","Subscription_Service","PREMIER PLUS CKG","",""
"6/15/2021","INTEREST PAYMENT","INTEREST PAYMENT","0.14","credit","Interest Income","PREMIER PLUS CKG","",""
"6/15/2021","Orig Name Vimo","ORIG CO NAME:VIMO INC","936.00","credit","Paycheck","BUS COMPLETE CHK","",""
"6/14/2021","GREENWOOD LOCATION Seattle W A 06/11","SQ *GREENWOOD LOCATION Seattle W","14.32","debit","Gas & Fuel","PREMIER PLUS CKG","",""
"6/14/2021","TEEPUBLIC 844-233-5033 NY 06/12","TEEPUBLIC 844-233-5033 NY","22.01","debit","Shopping","PREMIER PLUS CKG","","Fraiser Tee"
"6/14/2021","GREENWOOD LOCATION Seattle W A 06/13","SQ *GREENWOOD LOCATION Seattle W","16.53","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/14/2021","Amazon","AMZN Mktp US*2166Y1Z Amzn.com/bi","31.95","debit","Shopping","PREMIER PLUS CKG","","Ear Buds"
"6/14/2021","AXS.COM*NORTHWEST 888-929-7849 C A 06/12","AXS.COM*NORTHWEST 888-929-7849 C","106.94","debit","Entertainment","PREMIER PLUS CKG","","Billy Strings Tickets"
"6/14/2021","Herkimer Coffee","SQ *HERKIMER COFFEE - P Seattle","4.15","debit","Coffee Shops","PREMIER PLUS CKG","",""
